Age,Age_Group,Attrition,Department,Job Role,Gender,Monthly Income,Salary_Band,TotalWorkingYears,Years At Company,Experience_Group
23,Under 25,Yes,Sales,Sales Representative,Male,1790,Low,1,1,0-3 Years
23,Under 25,Yes,Sales,Sales Representative,Male,2275,Low,3,3,0-3 Years
24,Under 25,No,Human Resources,Human Resources,Male,2145,Low,3,2,0-3 Years
24,Under 25,No,Research & Development,Healthcare Representative,Male,4617,Medium,4,4,4-7 Years
24,Under 25,No,Research & Development,Laboratory Technician,Male,2127,Low,1,1,0-3 Years
24,Under 25,No,Research & Development,Laboratory Technician,Male,2296,Low,2,1,0-3 Years
24,Under 25,No,Research & Development,Laboratory Technician,Male,2694,Low,1,1,0-3 Years
24,Under 25,No,Research & Development,Laboratory Technician,Male,2774,Low,6,5,4-7 Years
24,Under 25,No,Research & Development,Laboratory Technician,Male,3162,Medium,6,5,4-7 Years
24,Under 25,No,Research & Development,Laboratory Technician,Male,3597,Medium,6,4,4-7 Years
24,Under 25,No,Research & Development,Laboratory Technician,Male,3907,Medium,6,6,4-7 Years
24,Under 25,No,Research & Development,Manufacturing Director,Female,4011,Medium,5,4,4-7 Years
24,Under 25,No,Research & Development,Manufacturing Director,Female,4377,Medium,5,4,4-7 Years
24,Under 25,No,Research & Development,Research Scientist,Female,3760,Medium,6,6,4-7 Years
24,Under 25,No,Research & Development,Research Scientist,Male,2725,Low,6,6,4-7 Years
24,Under 25,No,Research & Development,Research Scientist,Male,4401,Medium,5,5,4-7 Years
24,Under 25,No,Sales,Sales Executive,Female,4162,Medium,5,5,4-7 Years
24,Under 25,No,Sales,Sales Executive,Female,4260,Medium,5,5,4-7 Years
24,Under 25,No,Sales,Sales Executive,Female,4999,Medium,4,3,4-7 Years
24,Under 25,No,Sales,Sales Representative,Female,2033,Low,1,1,0-3 Years
24,Under 25,No,Sales,Sales Representative,Male,2400,Low,3,2,0-3 Years
24,Under 25,Yes,Human Resources,Human Resources,Male,1555,Low,1,1,0-3 Years
24,Under 25,Yes,Research & Development,Laboratory Technician,Female,2210,Low,1,1,0-3 Years
24,Under 25,Yes,Research & Development,Laboratory Technician,Female,2886,Low,6,6,4-7 Years
24,Under 25,Yes,Research & Development,Laboratory Technician,Male,3172,Medium,4,0,4-7 Years
24,Under 25,Yes,Research & Development,Research Scientist,Male,2293,Low,6,2,4-7 Years
24,Under 25,Yes,Sales,Sales Executive,Female,4577,Medium,4,2,4-7 Years
24,Under 25,Yes,Sales,Sales Representative,Female,3202,Medium,6,5,4-7 Years
25,Under 25,No,Human Resources,Human Resources,Female,2187,Low,6,2,4-7 Years
25,Under 25,No,Research & Development,Healthcare Representative,Male,4000,Medium,6,6,4-7 Years
25,Under 25,No,Research & Development,Laboratory Technician,Male,3229,Medium,7,3,4-7 Years
25,Under 25,No,Research & Development,Laboratory Technician,Male,3669,Medium,7,3,4-7 Years
25,Under 25,No,Research & Development,Laboratory Technician,Male,3977,Medium,7,2,4-7 Years
25,Under 25,No,Research & Development,Manufacturing Director,Female,4898,Medium,5,4,4-7 Years
25,Under 25,No,Research & Development,Manufacturing Director,Male,5206,Medium,7,7,4-7 Years
25,Under 25,No,Research & Development,Research Scientist,Female,2096,Low,2,2,0-3 Years
25,Under 25,No,Research & Development,Research Scientist,Male,2889,Low,2,2,0-3 Years
25,Under 25,No,Research & Development,Research Scientist,Male,3424,Medium,6,4,4-7 Years
25,Under 25,No,Sales,Sales Executive,Female,4487,Medium,5,5,4-7 Years
25,Under 25,No,Sales,Sales Executive,Female,4907,Medium,6,5,4-7 Years
25,Under 25,No,Sales,Sales Executive,Female,6180,Medium,6,6,4-7 Years
25,Under 25,No,Sales,Sales Executive,Male,4194,Medium,5,5,4-7 Years
25,Under 25,No,Sales,Sales Executive,Male,4256,Medium,5,5,4-7 Years
25,Under 25,No,Sales,Sales Executive,Male,4851,Medium,4,3,4-7 Years
25,Under 25,No,Sales,Sales Executive,Male,4950,Medium,5,4,4-7 Years
25,Under 25,No,Sales,Sales Executive,Male,6232,Medium,6,3,4-7 Years
25,Under 25,No,Sales,Sales Executive,Male,8639,High,6,2,4-7 Years
25,Under 25,No,Sales,Sales Representative,Male,2096,Low,7,7,4-7 Years
25,Under 25,Yes,Research & Development,Laboratory Technician,Male,3691,Medium,7,7,4-7 Years
25,Under 25,Yes,Research & Development,Laboratory Technician,Male,4031,Medium,6,2,4-7 Years
25,Under 25,Yes,Sales,Sales Executive,Male,5744,Medium,6,6,4-7 Years
25,Under 25,Yes,Sales,Sales Representative,Male,1118,Low,1,1,0-3 Years
25,Under 25,Yes,Sales,Sales Representative,Male,2413,Low,1,1,0-3 Years
25,Under 25,Yes,Sales,Sales Representative,Male,4400,Medium,6,3,4-7 Years
26,26-35,No,Human Resources,Human Resources,Female,2942,Low,8,8,8-15 Years
26,26-35,No,Research & Development,Healthcare Representative,Male,4741,Medium,5,5,4-7 Years
26,26-35,No,Research & Development,Laboratory Technician,Female,2659,Low,3,3,0-3 Years
26,26-35,No,Research & Development,Laboratory Technician,Female,4364,Medium,5,2,4-7 Years
26,26-35,No,Research & Development,Laboratory Technician,Male,2305,Low,3,3,0-3 Years
26,26-35,No,Research & Development,Laboratory Technician,Male,2544,Low,8,7,8-15 Years
26,26-35,No,Research & Development,Laboratory Technician,Male,2570,Low,7,7,4-7 Years
26,26-35,No,Research & Development,Laboratory Technician,Male,2867,Low,8,7,8-15 Years
26,26-35,No,Research & Development,Laboratory Technician,Male,3578,Medium,8,7,8-15 Years
26,26-35,No,Research & Development,Laboratory Technician,Male,3955,Medium,6,5,4-7 Years
26,26-35,No,Research & Development,Laboratory Technician,Male,4420,Medium,8,8,8-15 Years
26,26-35,No,Research & Development,Manufacturing Director,Female,6397,Medium,6,6,4-7 Years
26,26-35,No,Research & Development,Manufacturing Director,Male,5472,Medium,8,8,8-15 Years
26,26-35,No,Research & Development,Research Scientist,Female,2007,Low,5,5,4-7 Years
26,26-35,No,Research & Development,Research Scientist,Female,2061,Low,1,1,0-3 Years
26,26-35,No,Research & Development,Research Scientist,Female,2368,Low,5,5,4-7 Years
26,26-35,No,Research & Development,Research Scientist,Female,2886,Low,3,3,0-3 Years
26,26-35,No,Research & Development,Research Scientist,Female,2933,Low,1,1,0-3 Years
26,26-35,No,Research & Development,Research Scientist,Male,2875,Low,8,8,8-15 Years
26,26-35,No,Research & Development,Research Scientist,Male,3904,Medium,5,4,4-7 Years
26,26-35,No,Sales,Sales Executive,Female,4157,Medium,5,2,4-7 Years
26,26-35,No,Sales,Sales Executive,Male,4294,Medium,7,7,4-7 Years
26,26-35,No,Sales,Sales Executive,Male,4306,Medium,8,0,8-15 Years
26,26-35,No,Sales,Sales Executive,Male,4684,Medium,5,5,4-7 Years
26,26-35,No,Sales,Sales Executive,Male,5296,Medium,8,8,8-15 Years
26,26-35,No,Sales,Sales Executive,Male,6272,Medium,6,5,4-7 Years
26,26-35,No,Sales,Sales Representative,Female,2966,Low,5,4,4-7 Years
26,26-35,Yes,Human Resources,Human Resources,Female,2148,Low,6,5,4-7 Years
26,26-35,Yes,Human Resources,Human Resources,Female,2741,Low,8,7,8-15 Years
26,26-35,Yes,Research & Development,Laboratory Technician,Male,2293,Low,1,1,0-3 Years
26,26-35,Yes,Research & Development,Laboratory Technician,Male,2340,Low,1,1,0-3 Years
26,26-35,Yes,Research & Development,Laboratory Technician,Male,2373,Low,5,3,4-7 Years
26,26-35,Yes,Research & Development,Laboratory Technician,Male,2377,Low,1,1,0-3 Years
26,26-35,Yes,Research & Development,Research Scientist,Female,2366,Low,8,8,8-15 Years
26,26-35,Yes,Research & Development,Research Scientist,Male,2042,Low,6,3,4-7 Years
26,26-35,Yes,Research & Development,Research Scientist,Male,3102,Medium,7,6,4-7 Years
26,26-35,Yes,Sales,Sales Executive,Male,4969,Medium,7,2,4-7 Years
26,26-35,Yes,Sales,Sales Executive,Male,5326,Medium,6,4,4-7 Years
26,26-35,Yes,Sales,Sales Executive,Male,5828,Medium,8,8,8-15 Years
27,26-35,No,Research & Development,Healthcare Representative,Female,6811,Medium,9,7,8-15 Years
27,26-35,No,Research & Development,Laboratory Technician,Female,2341,Low,1,1,0-3 Years
27,26-35,No,Research & Development,Laboratory Technician,Female,2379,Low,6,5,4-7 Years
27,26-35,No,Research & Development,Laboratory Technician,Female,2811,Low,4,2,4-7 Years
27,26-35,No,Research & Development,Laboratory Technician,Male,2099,Low,6,5,4-7 Years
27,26-35,No,Research & Development,Laboratory Technician,Male,3468,Medium,6,2,4-7 Years
27,26-35,No,Research & Development,Laboratory Technician,Male,3816,Medium,5,5,4-7 Years
27,26-35,No,Research & Development,Laboratory Technician,Male,4066,Medium,7,7,4-7 Years
27,26-35,No,Research & Development,Laboratory Technician,Male,4621,Medium,3,3,0-3 Years
27,26-35,No,Research & Development,Manufacturing Director,Female,4227,Medium,4,3,4-7 Years
27,26-35,No,Research & Development,Manufacturing Director,Female,7412,High,9,9,8-15 Years
27,26-35,No,Research & Development,Manufacturing Director,Male,4298,Medium,6,2,4-7 Years
27,26-35,No,Research & Development,Manufacturing Director,Male,6142,Medium,6,6,4-7 Years
27,26-35,No,Research & Development,Manufacturing Director,Male,8793,High,9,9,8-15 Years
27,26-35,No,Research & Development,Research Director,Male,12808,High,9,9,8-15 Years
27,26-35,No,Research & Development,Research Scientist,Female,2187,Low,6,5,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Female,2279,Low,7,7,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Female,2318,Low,1,1,0-3 Years
27,26-35,No,Research & Development,Research Scientist,Female,2478,Low,4,4,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Female,3445,Medium,6,6,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Female,3517,Medium,5,3,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Female,4774,Medium,8,7,8-15 Years
27,26-35,No,Research & Development,Research Scientist,Male,1706,Low,0,0,0-3 Years
27,26-35,No,Research & Development,Research Scientist,Male,2024,Low,6,2,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Male,2045,Low,5,4,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Male,2226,Low,6,5,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Male,2235,Low,9,9,8-15 Years
27,26-35,No,Research & Development,Research Scientist,Male,2517,Low,5,5,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Male,2539,Low,4,4,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Male,2566,Low,1,1,0-3 Years
27,26-35,No,Research & Development,Research Scientist,Male,2580,Low,6,4,4-7 Years
27,26-35,No,Research & Development,Research Scientist,Male,3058,Medium,6,5,4-7 Years
27,26-35,No,Sales,Sales Executive,Female,4647,Medium,6,6,4-7 Years
27,26-35,No,Sales,Sales Executive,Female,5769,Medium,6,6,4-7 Years
27,26-35,No,Sales,Sales Executive,Female,6214,Medium,8,8,8-15 Years
27,26-35,No,Sales,Sales Executive,Female,6500,Medium,9,8,8-15 Years
27,26-35,No,Sales,Sales Executive,Female,9981,High,7,7,4-7 Years
27,26-35,No,Sales,Sales Executive,Male,4105,Medium,7,7,4-7 Years
27,26-35,No,Sales,Sales Executive,Male,4342,Medium,5,4,4-7 Years
27,26-35,No,Sales,Sales Executive,Male,4478,Medium,5,5,4-7 Years
27,26-35,No,Sales,Sales Executive,Male,5071,Medium,8,6,8-15 Years
27,26-35,No,Sales,Sales Executive,Male,6349,Medium,6,5,4-7 Years
27,26-35,No,Sales,Sales Executive,Male,8726,High,9,9,8-15 Years
27,26-35,No,Sales,Sales Representative,Female,2534,Low,5,1,4-7 Years
27,26-35,No,Sales,Sales Representative,Female,3540,Medium,9,9,8-15 Years
27,26-35,Yes,Human Resources,Human Resources,Female,2863,Low,1,1,0-3 Years
27,26-35,Yes,Research & Development,Research Scientist,Female,2394,Low,8,8,8-15 Years
27,26-35,Yes,Sales,Sales Representative,Male,3041,Medium,5,4,4-7 Years
28,26-35,No,Human Resources,Human Resources,Male,2706,Low,3,3,0-3 Years
28,26-35,No,Human Resources,Human Resources,Male,4936,Medium,6,5,4-7 Years
28,26-35,No,Research & Development,Healthcare Representative,Male,5661,Medium,9,8,8-15 Years
28,26-35,No,Research & Development,Laboratory Technician,Female,6674,Medium,10,9,8-15 Years
28,26-35,No,Research & Development,Laboratory Technician,Male,2154,Low,5,4,4-7 Years
28,26-35,No,Research & Development,Laboratory Technician,Male,2207,Low,4,4,4-7 Years
28,26-35,No,Research & Development,Laboratory Technician,Male,3196,Medium,6,6,4-7 Years
28,26-35,No,Research & Development,Laboratory Technician,Male,3867,Medium,2,2,0-3 Years
28,26-35,No,Research & Development,Laboratory Technician,Male,4558,Medium,10,10,8-15 Years
28,26-35,No,Research & Development,Manufacturing Director,Female,4877,Medium,6,5,4-7 Years
28,26-35,No,Research & Development,Manufacturing Director,Female,7655,High,10,9,8-15 Years
28,26-35,No,Research & Development,Manufacturing Director,Male,6549,Medium,8,8,8-15 Years
28,26-35,No,Research & Development,Research Scientist,Female,2377,Low,6,2,4-7 Years
28,26-35,No,Research & Development,Research Scientist,Female,3310,Medium,5,5,4-7 Years
28,26-35,No,Research & Development,Research Scientist,Female,3591,Medium,3,3,0-3 Years
28,26-35,No,Research & Development,Research Scientist,Female,3660,Medium,10,8,8-15 Years
28,26-35,No,Research & Development,Research Scientist,Male,1563,Low,1,1,0-3 Years
28,26-35,No,Research & Development,Research Scientist,Male,2044,Low,5,5,4-7 Years
28,26-35,No,Research & Development,Research Scientist,Male,2070,Low,5,5,4-7 Years
28,26-35,No,Research & Development,Research Scientist,Male,2080,Low,5,3,4-7 Years
28,26-35,No,Research & Development,Research Scientist,Male,2144,Low,5,5,4-7 Years
28,26-35,No,Research & Development,Research Scientist,Male,2703,Low,3,3,0-3 Years
28,26-35,No,Research & Development,Research Scientist,Male,2713,Low,5,5,4-7 Years
28,26-35,No,Research & Development,Research Scientist,Male,3201,Medium,6,5,4-7 Years
28,26-35,No,Sales,Sales Executive,Female,4779,Medium,8,8,8-15 Years
28,26-35,No,Sales,Sales Executive,Male,4221,Medium,5,5,4-7 Years
28,26-35,No,Sales,Sales Executive,Male,4724,Medium,5,5,4-7 Years
28,26-35,No,Sales,Sales Executive,Male,4898,Medium,5,4,4-7 Years
28,26-35,No,Sales,Sales Executive,Male,4908,Medium,4,4,4-7 Years
28,26-35,No,Sales,Sales Executive,Male,5253,Medium,7,7,4-7 Years
28,26-35,No,Sales,Sales Executive,Male,6834,Medium,7,7,4-7 Years
28,26-35,No,Sales,Sales Executive,Male,8463,High,6,5,4-7 Years
28,26-35,No,Sales,Sales Representative,Female,2856,Low,1,1,0-3 Years
28,26-35,No,Sales,Sales Representative,Male,1052,Low,1,1,0-3 Years
28,26-35,Yes,Research & Development,Healthcare Representative,Male,8722,High,10,10,8-15 Years
28,26-35,Yes,Research & Development,Laboratory Technician,Female,2515,Low,1,1,0-3 Years
28,26-35,Yes,Research & Development,Laboratory Technician,Male,2028,Low,6,4,4-7 Years
28,26-35,Yes,Research & Development,Laboratory Technician,Male,2367,Low,6,4,4-7 Years
28,26-35,Yes,Research & Development,Laboratory Technician,Male,2408,Low,1,1,0-3 Years
28,26-35,Yes,Research & Development,Laboratory Technician,Male,2561,Low,8,0,8-15 Years
28,26-35,Yes,Research & Development,Laboratory Technician,Male,2596,Low,1,1,0-3 Years
28,26-35,Yes,Research & Development,Laboratory Technician,Male,3441,Medium,2,2,0-3 Years
28,26-35,Yes,Research & Development,Laboratory Technician,Male,3485,Medium,5,0,4-7 Years
28,26-35,Yes,Research & Development,Research Scientist,Female,2216,Low,10,7,8-15 Years
28,26-35,Yes,Research & Development,Research Scientist,Male,3464,Medium,5,3,4-7 Years
28,26-35,Yes,Research & Development,Research Scientist,Male,4382,Medium,5,2,4-7 Years
28,26-35,Yes,Sales,Sales Executive,Female,9854,High,6,2,4-7 Years
28,26-35,Yes,Sales,Sales Representative,Male,2909,Low,5,3,4-7 Years
29,26-35,No,Human Resources,Human Resources,Male,2804,Low,1,1,0-3 Years
29,26-35,No,Human Resources,Human Resources,Male,7988,High,10,10,8-15 Years
29,26-35,No,Research & Development,Healthcare Representative,Female,4335,Medium,11,8,8-15 Years
29,26-35,No,Research & Development,Healthcare Representative,Female,9715,High,9,7,8-15 Years
29,26-35,No,Research & Development,Healthcare Representative,Male,5373,Medium,6,5,4-7 Years
29,26-35,No,Research & Development,Healthcare Representative,Male,6294,Medium,10,3,8-15 Years
29,26-35,No,Research & Development,Healthcare Representative,Male,6384,Medium,11,7,8-15 Years
29,26-35,No,Research & Development,Healthcare Representative,Male,6623,Medium,6,6,4-7 Years
29,26-35,No,Research & Development,Healthcare Representative,Male,8853,High,6,6,4-7 Years
29,26-35,No,Research & Development,Laboratory Technician,Female,2532,Low,8,4,8-15 Years
29,26-35,No,Research & Development,Laboratory Technician,Female,2974,Low,9,5,8-15 Years
29,26-35,No,Research & Development,Laboratory Technician,Female,3131,Medium,10,10,8-15 Years
29,26-35,No,Research & Development,Laboratory Technician,Female,3180,Medium,4,3,4-7 Years
29,26-35,No,Research & Development,Laboratory Technician,Female,4193,Medium,10,9,8-15 Years
29,26-35,No,Research & Development,Laboratory Technician,Male,2062,Low,11,3,8-15 Years
29,26-35,No,Research & Development,Laboratory Technician,Male,3812,Medium,11,11,8-15 Years
29,26-35,No,Research & Development,Laboratory Technician,Male,3983,Medium,4,3,4-7 Years
29,26-35,No,Research & Development,Laboratory Technician,Male,4025,Medium,10,4,8-15 Years
29,26-35,No,Research & Development,Laboratory Technician,Male,4723,Medium,10,10,8-15 Years
29,26-35,No,Research & Development,Manufacturing Director,Female,9980,High,10,10,8-15 Years
29,26-35,No,Research & Development,Manufacturing Director,Male,4262,Medium,8,3,8-15 Years
29,26-35,No,Research & Development,Manufacturing Director,Male,4319,Medium,10,10,8-15 Years
29,26-35,No,Research & Development,Manufacturing Director,Male,5056,Medium,10,10,8-15 Years
29,26-35,No,Research & Development,Research Director,Female,16124,High,9,7,8-15 Years
29,26-35,No,Research & Development,Research Director,Male,11935,High,10,10,8-15 Years
29,26-35,No,Research & Development,Research Scientist,Female,2109,Low,1,1,0-3 Years
29,26-35,No,Research & Development,Research Scientist,Female,2168,Low,6,5,4-7 Years
29,26-35,No,Research & Development,Research Scientist,Female,2514,Low,11,7,8-15 Years
29,26-35,No,Research & Development,Research Scientist,Female,3291,Medium,8,7,8-15 Years
29,26-35,No,Research & Development,Research Scientist,Female,3760,Medium,3,3,0-3 Years
29,26-35,No,Research & Development,Research Scientist,Female,3785,Medium,5,5,4-7 Years
29,26-35,No,Research & Development,Research Scientist,Male,2201,Low,6,3,4-7 Years
29,26-35,No,Research & Development,Research Scientist,Male,2340,Low,6,6,4-7 Years
29,26-35,No,Research & Development,Research Scientist,Male,2451,Low,5,1,4-7 Years
29,26-35,No,Research & Development,Research Scientist,Male,2700,Low,10,10,8-15 Years
29,26-35,No,Research & Development,Research Scientist,Male,2703,Low,6,5,4-7 Years
29,26-35,No,Research & Development,Research Scientist,Male,2720,Low,10,10,8-15 Years
29,26-35,No,Sales,Sales Executive,Female,5561,Medium,6,6,4-7 Years
29,26-35,No,Sales,Sales Executive,Female,7918,High,11,11,8-15 Years
29,26-35,No,Sales,Sales Executive,Female,8268,High,7,7,4-7 Years
29,26-35,No,Sales,Sales Executive,Male,4187,Medium,10,10,8-15 Years
29,26-35,No,Sales,Sales Executive,Male,4554,Medium,10,10,8-15 Years
29,26-35,No,Sales,Sales Executive,Male,4649,Medium,4,4,4-7 Years
29,26-35,No,Sales,Sales Executive,Male,5869,Medium,8,5,8-15 Years
29,26-35,No,Sales,Sales Executive,Male,6644,Medium,10,0,8-15 Years
29,26-35,No,Sales,Sales Executive,Male,6931,Medium,10,3,8-15 Years
29,26-35,No,Sales,Sales Executive,Male,8620,High,10,10,8-15 Years
29,26-35,No,Sales,Sales Representative,Female,2157,Low,3,3,0-3 Years
29,26-35,No,Sales,Sales Representative,Male,2297,Low,2,2,0-3 Years
29,26-35,No,Sales,Sales Representative,Male,2642,Low,1,1,0-3 Years
29,26-35,Yes,Human Resources,Human Resources,Male,2335,Low,4,2,4-7 Years
29,26-35,Yes,Research & Development,Healthcare Representative,Female,7553,High,9,8,8-15 Years
29,26-35,Yes,Research & Development,Laboratory Technician,Female,2319,Low,1,1,0-3 Years
29,26-35,Yes,Research & Development,Laboratory Technician,Female,3339,Medium,10,7,8-15 Years
29,26-35,Yes,Research & Development,Laboratory Technician,Male,2119,Low,7,7,4-7 Years
29,26-35,Yes,Research & Development,Research Scientist,Female,2404,Low,3,0,0-3 Years
29,26-35,Yes,Research & Development,Research Scientist,Female,2546,Low,6,2,4-7 Years
29,26-35,Yes,Research & Development,Research Scientist,Male,2058,Low,7,6,4-7 Years
29,26-35,Yes,Research & Development,Research Scientist,Male,2362,Low,11,9,8-15 Years
29,26-35,Yes,Research & Development,Research Scientist,Male,2389,Low,4,4,4-7 Years
29,26-35,Yes,Research & Development,Research Scientist,Male,2439,Low,1,1,0-3 Years
29,26-35,Yes,Research & Development,Research Scientist,Male,4787,Medium,4,2,4-7 Years
29,26-35,Yes,Sales,Sales Executive,Female,5765,Medium,7,5,4-7 Years
29,26-35,Yes,Sales,Sales Executive,Female,7336,High,11,11,8-15 Years
29,26-35,Yes,Sales,Sales Executive,Female,7639,High,10,10,8-15 Years
29,26-35,Yes,Sales,Sales Representative,Female,2760,Low,2,2,0-3 Years
29,26-35,Yes,Sales,Sales Representative,Female,2800,Low,5,3,4-7 Years
29,26-35,Yes,Sales,Sales Representative,Male,1091,Low,1,1,0-3 Years
30,26-35,No,Human Resources,Human Resources,Male,2064,Low,6,5,4-7 Years
